Symbol,Timeframe,Status,ReportFile,CompletionTime
EURUSD,M1,Success,,2025-05-19 12:10:53
EURUSD,M5,Success,,2025-05-19 12:10:58
EURUSD,M15,Success,,2025-05-19 12:11:04
EURUSD,H1,Success,,2025-05-19 12:11:09
EURUSD,H4,Success,,2025-05-19 12:11:14
EURUSD,D1,Success,,2025-05-19 12:11:19
GBPUSD,M1,Success,,2025-05-19 12:11:25
GBPUSD,M5,Success,,2025-05-19 12:11:30
GBPUSD,M15,Success,,2025-05-19 12:11:35
GBPUSD,H1,Success,,2025-05-19 12:11:40
GBPUSD,H4,Success,,2025-05-19 12:11:45
GBPUSD,D1,Success,,2025-05-19 12:11:50
USDJPY,M1,Success,,2025-05-19 12:11:55
USDJPY,M5,Success,,2025-05-19 12:12:01
USDJPY,M15,Success,,2025-05-19 12:12:06
USDJPY,H1,Success,,2025-05-19 12:12:11
USDJPY,H4,Success,,2025-05-19 12:12:16
USDJPY,D1,Success,,2025-05-19 12:12:21
AUDUSD,M1,Success,,2025-05-19 12:12:26
AUDUSD,M5,Success,,2025-05-19 12:12:32
AUDUSD,M15,Success,,2025-05-19 12:12:37
AUDUSD,H1,Success,,2025-05-19 12:12:42
AUDUSD,H4,Success,,2025-05-19 12:12:47
AUDUSD,D1,Success,,2025-05-19 12:12:52
